CHỦ ĐỀ: MÔI TRƯỜNG,,,,,,,,,,,,,,,,,,,,,,,,
46,What is the biggest cause of climate change?,"Yes, there is pollution where I live in Hanoi, Vietnam. Air pollution is the most serious environmental problem in Hanoi.",,,,,,,,,,,,,,,,,,,,,,
47,What kinds of pollution are serious in your country?,"Unfortunately, pollution is a significant issue in Vietnam. Some of the most serious types of pollution include air pollution, water pollution, and noise pollution.",,,,,,,,,,,,,,,,,,,,,,
48,Do you take an interest in nature? ,"Yes, I do. I find nature to be a fascinating and complex system that is full of beauty and wonder.",,,,,,,,,,,,,,,,,,,,,,
49,Do you like growing plants? ,"Yes, I do enjoy growing plants. I also appreciate the beauty that plants bring to my home and garden. ",,,,,,,,,,,,,,,,,,,,,,
50,Why is environmental education important?,It raises awareness and encourages people to take action to protect nature.,,,,,,,,,,,,,,,,,,,,,,
51,What are the main causes of air pollution in urban areas today?,"Vehicle emissions, industrial activities, burning fossil fuels, construction dust, and waste incineration.",,,,,,,,,,,,,,,,,,,,,,
52,How does deforestation affect global climate patterns?,"Releases carbon dioxide, reduces CO2 absorption, and disrupts rainfall patterns, worsening global warming.",,,,,,,,,,,,,,,,,,,,,,
53,Why is plastic pollution such a significant problem for marine life?,"Marine animals ingest or get entangled in it, causing injury, starvation, death, and food chain disruption.",,,,,,,,,,,,,,,,,,,,,,
54,What role does industrial waste play in water pollution?,"Contaminates water with chemicals, heavy metals, and untreated sewage, harming ecosystems and health.",,,,,,,,,,,,,,,,,,,,,,
55,How are rising global temperatures impacting polar ice caps?,"Melts ice caps, reduces reflectivity, accelerates warming, and raises sea levels.",,,,,,,,,,,,,,,,,,,,,,
56,What are the effects of overfishing on ocean ecosystems?,"Depletes fish populations, disrupts food webs, and damages habitats like coral reefs.",,,,,,,,,,,,,,,,,,,,,,
57,How does urbanization contribute to habitat loss for wildlife?,"Clears forests, wetlands, and grasslands for infrastructure, reducing wildlife living space.",,,,,,,,,,,,,,,,,,,,,,
58,Why are greenhouse gas emissions still increasing despite awareness?,"Economic growth, fossil fuel reliance, weak policies, and population growth outpace reduction efforts.",,,,,,,,,,,,,,,,,,,,,,
59,What steps are governments taking to reduce carbon footprints?,"Promoting renewables, enforcing emissions rules, subsidizing green tech, and joining global agreements.",,,,,,,,,,,,,,,,,,,,,,
60,How does soil degradation affect agricultural productivity?,"Reduces fertility, limits crop yields, and increases reliance on chemical fertilizers.",,,,,,,,,,,,,,,,,,,,,,
61,What are the consequences of melting glaciers for sea levels?,"Raises sea levels, floods coastal areas, and displaces communities and ecosystems.",,,,,,,,,,,,,,,,,,,,,,
62,How is climate change influencing extreme weather events?,"Increases frequency and intensity of storms, heatwaves, droughts, and floods.",,,,,,,,,,,,,,,,,,,,,,
63,Why is biodiversity loss considered a global crisis?,"Threatens ecosystem stability, food security, and resilience to environmental changes.",,,,,,,,,,,,,,,,,,,,,,
64,What are the primary sources of renewable energy being used today?,"Solar, wind, hydropower, geothermal, and biomass energy.",,,,,,,,,,,,,,,,,,,,,,
65,How does single-use plastic impact the environment long-term?,"Persists in ecosystems, pollutes water and soil, and harms wildlife for decades.",,,,,,,,,,,,,,,,,,,,,,
66,What measures can individuals take to reduce their environmental impact?,"Reduce waste, use renewables, conserve water, and adopt sustainable habits.",,,,,,,,,,,,,,,,,,,,,,
67,How are coral reefs being affected by ocean warming?,"Causes bleaching, weakens structures, and reduces biodiversity in reef ecosystems.",,,,,,,,,,,,,,,,,,,,,,
68,Why is electronic waste becoming a growing environmental issue?,"Contains toxic materials, pollutes soil and water, and overwhelms waste systems.",,,,,,,,,,,,,,,,,,,,,,
69,What role do corporations play in environmental degradation?,"Drive resource extraction, emissions, and waste through production and supply chains.",,,,,,,,,,,,,,,,,,,,,,
70,How effective are current recycling programs worldwide?,Vary widely; effective in some regions but limited by contamination and low participation elsewhere.,,,,,,,,,,,,,,,,,,,,,,
71,What are the environmental impacts of large-scale mining?,"Destroys habitats, pollutes water, and releases greenhouse gases.",,,,,,,,,,,,,,,,,,,,,,
72,How does air quality affect human health in polluted cities?,"Increases respiratory issues, heart disease, and premature deaths in polluted areas.",,,,,,,,,,,,,,,,,,,,,,
73,Why are wetlands disappearing at an alarming rate?,"Drained for agriculture, urban development, and climate-driven drying.",,,,,,,,,,,,,,,,,,,,,,
74,What is the relationship between deforestation and carbon dioxide levels?,"Removes trees that absorb CO2, increasing atmospheric levels and warming.",,,,,,,,,,,,,,,,,,,,,,
75,How are endangered species being protected from extinction?,"Through protected areas, breeding programs, and laws against poaching and trade.",,,,,,,,,,,,,,,,,,,,,,
76,What challenges do renewable energy projects face today?,"High costs, infrastructure needs, and inconsistent energy output.",,,,,,,,,,,,,,,,,,,,,,
77,How does overpopulation strain natural resources?,"Increases demand for food, water, and energy, depleting resources faster.",,,,,,,,,,,,,,,,,,,,,,
78,Why is clean water becoming scarce in some regions?,"Overuse, pollution, and climate change reduce freshwater availability.",,,,,,,,,,,,,,,,,,,,,,
79,What are the environmental effects of oil spills in the ocean?,"Kills marine life, damages habitats, and disrupts ecosystems for years.",,,,,,,,,,,,,,,,,,,,,,
80,How do pesticides harm ecosystems beyond their intended targets?,"Harm pollinators, wildlife, and soil health, causing broader ecological damage.",,,,,,,,,,,,,,,,,,,,,,
81,What is being done to combat desertification globally?,"Reforestation, sustainable farming, and international aid programs.",,,,,,,,,,,,,,,,,,,,,,
82,How does fast fashion contribute to environmental damage?,"Creates waste, uses toxic dyes, and consumes vast water and energy.",,,,,,,,,,,,,,,,,,,,,,
83,Why are wildfires becoming more frequent and intense?,"Driven by higher temperatures, droughts, and human land mismanagement.",,,,,,,,,,,,,,,,,,,,,,
84,What impact does transportation have on global emissions?,"Contributes heavily via cars, planes, and shipping emissions.",,,,,,,,,,,,,,,,,,,,,,
85,How are coastal areas preparing for rising sea levels?,"Building seawalls, relocating communities, and restoring natural barriers like mangroves.",,,,,,,,,,,,,,,,,,,,,,
86,What are the benefits of reforestation efforts?,"Restores habitats, sequesters carbon, and improves soil and water retention.",,,,,,,,,,,,,,,,,,,,,,
87,How does noise pollution affect wildlife behavior?,"Disrupts mating, hunting, and migration patterns in animals.",,,,,,,,,,,,,,,,,,,,,,
88,Why is sustainable agriculture gaining attention today?,"Reduces chemical use, preserves soil, and meets growing food demand sustainably.",,,,,,,,,,,,,,,,,,,,,,
89,What are the long-term effects of nuclear waste on the environment?,"Contaminates soil and water, posing risks for centuries if mismanaged.",,,,,,,,,,,,,,,,,,,,,,
90,How do microplastics enter the human food chain?,"Through seafood, water, and soil, accumulating in human tissues.",,,,,,,,,,,,,,,,,,,,,,
91,What role does education play in environmental conservation?,"Raises awareness, changes behavior, and fosters sustainable practices.",,,,,,,,,,,,,,,,,,,,,,
92,How are developing countries addressing environmental challenges?,"Adopting renewables, seeking aid, and balancing growth with conservation.",,,,,,,,,,,,,,,,,,,,,,
93,Why is the loss of pollinators a threat to food security?,"Reduces crop pollination, threatening food production and ecosystems.",,,,,,,,,,,,,,,,,,,,,,
94,What are the environmental costs of cryptocurrency mining?,High energy use for computing drives emissions and resource depletion.,,,,,,,,,,,,,,,,,,,,,,
95,How does illegal logging impact tropical rainforests?,"Destroys habitats, increases CO2, and threatens indigenous communities.",,,,,,,,,,,,,,,,,,,,,,
96,What innovations are helping to clean up polluted rivers?,"Bioremediation, filtration systems, and trash-collecting drones.",,,,,,,,,,,,,,,,,,,,,,
97,How are animals adapting to changing climates?,"Shifting habitats, altering behaviors, or facing extinction risks.",,,,,,,,,,,,,,,,,,,,,,
98,Why is ocean acidification a growing concern for marine life?,"Weakens shells, disrupts food chains, and harms marine biodiversity.",,,,,,,,,,,,,,,,,,,,,,
99,What are the environmental impacts of tourism in sensitive areas?,"Strains resources, damages ecosystems, and increases waste in fragile areas.",,,,,,,,,,,,,,,,,,,,,,
100,How can technology help solve current environmental problems?,"Offers solutions like clean energy, pollution monitoring, and waste management tools.",,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CHỦ ĐỀ: MÔI TRƯỜNG,,,,,,,,,,,,,,,,,,,,,,,,
STT,Câu hỏi Tiếng Anh,Câu hỏi Tiếng Việt,Câu trả lời Tiếng Anh,Câu trả lời Tiếng Việt,,,,,,,,,,,,,,,,,,,,
1,Do you use reusable bags instead of plastic ones?,Bạn có sử dụng túi tái sử dụng thay vì túi nhựa không?,"Yes, I always carry my own bag.","Có, tôi luôn mang theo túi của mình.",,,,,,,,,,,,,,,,,,,,
2,What products can we use to reduce water pollution?,Chúng ta có thể sử dụng những sản phẩm nào để giảm ô nhiễm nước?,"Finally, we can reduce water pollution by using green products and avoiding single-use products like plastic bags.","Cuối cùng, chúng ta có thể giảm ô nhiễm nước bằng cách sử dụng các sản phẩm xanh và tránh các sản phẩm dùng một lần như túi nhựa.",,,,,,,,,,,,,,,,,,,,
3,What role do governments play in environmental protection?,Chính phủ đóng vai trò gì trong việc bảo vệ môi trường?,"They create laws, regulations, and policies to protect natural resources.","Họ tạo ra luật pháp, quy định và chính sách để bảo vệ tài nguyên thiên nhiên.",,,,,,,,,,,,,,,,,,,,
4,Do you think pollution is a problem today?,Bạn có nghĩ rằng ô nhiễm là một vấn đề ngày nay không?,"Yes, I think pollution is a problem today. It’s one of the most pressing issues facing our planet.","Đúng, tôi nghĩ ô nhiễm là một vấn đề ngày nay. Đây là một trong những vấn đề cấp bách nhất mà hành tinh của chúng ta phải đối mặt.",,,,,,,,,,,,,,,,,,,,
5,Do you think food waste is a problem?,Bạn có nghĩ rằng lãng phí thực phẩm là một vấn đề không?,"Yes, it wastes resources and creates more trash.","Đúng, nó lãng phí tài nguyên và tạo ra nhiều rác thải hơn.",,,,,,,,,,,,,,,,,,,,
6,What do you know about climate change?,Bạn biết gì về biến đổi khí hậu?,It’s a change in weather patterns due to human activities.,Đó là sự thay đổi về kiểu thời tiết do hoạt động của con người.,,,,,,,,,,,,,,,,,,,,
7,Do you think you’ve done enough to protect the environment?  ,Bạn có nghĩ rằng mình đã làm đủ để bảo vệ môi trường chưa?,"No definitely not, I still throw away various single-use plastic products every day. Currently, there aren’t any recycling programmes where I live. I hope this will change soon.","Không, chắc chắn là không, tôi vẫn vứt bỏ nhiều sản phẩm nhựa dùng một lần khác nhau mỗi ngày. Hiện tại, không có bất kỳ chương trình tái chế nào ở nơi tôi sống. Tôi hy vọng điều này sẽ sớm thay đổi.",,,,,,,,,,,,,,,,,,,,
8,What can you do to help the environment?,Bạn có thể làm gì để giúp bảo vệ môi trường?,"I think I can help by recycling more and using less plastic, like bringing my own bags when I go shopping","Tôi nghĩ mình có thể giúp bằng cách tái chế nhiều hơn và sử dụng ít nhựa hơn, chẳng hạn như mang theo túi của riêng mình khi đi mua sắm",,,,,,,,,,,,,,,,,,,,
9,Do you think it’s important to plant trees?,Bạn có nghĩ rằng trồng cây là quan trọng không?,"Yes, trees clean the air and provide oxygen.","Đúng vậy, cây xanh làm sạch không khí và cung cấp oxy.",,,,,,,,,,,,,,,,,,,,
10,Do you think air pollution is a problem in your city?,Bạn có nghĩ rằng ô nhiễm không khí là một vấn đề ở thành phố của bạn không?,"Yes, there’s a lot of smoke from cars and factories.","Đúng vậy, có rất nhiều khói từ ô tô và nhà máy.",,,,,,,,,,,,,,,,,,,,
11,What do you do to stop wasting food?,Bạn làm gì để ngừng lãng phí thực phẩm?,I eat leftovers and don’t buy too much food,Tôi ăn đồ ăn thừa và không mua quá nhiều thực phẩm,,,,,,,,,,,,,,,,,,,,
12,Do you think people should use less plastic?,Bạn có nghĩ rằng mọi người nên sử dụng ít nhựa hơn không?,"Yes, because plastic harms animals and the environment.","Đúng vậy, vì nhựa gây hại cho động vật và môi trường.",,,,,,,,,,,,,,,,h,,,,
13,What is the biggest cause of climate change?,Nguyên nhân lớn nhất gây ra biến đổi khí hậu là gì?,Burning fossil fuels like coal and oil., Đốt nhiên liệu hóa thạch như than và dầu.,,,,,,,,,,,,,,,,,,,,
14,What do you know about recycling?,Bạn biết gì về tái chế?,"It reduces waste by turning old things into new ones, and it also saves resources like trees and metals, which helps protect the environment.","Nó giúp giảm chất thải bằng cách biến những thứ cũ thành mới và cũng tiết kiệm các nguồn tài nguyên như cây xanh và kim loại, giúp bảo vệ môi trường.",,,,,,,,,,,,,,,,,,,,
15,What can we do to stop global warming?,Chúng ta có thể làm gì để ngăn chặn sự nóng lên toàn cầu?,"We can use bicycles instead of cars to reduce emissions, and we can also save energy by turning off appliances when we’re not using them.",Chúng ta có thể sử dụng xe đạp thay vì ô tô để giảm khí thải và chúng ta cũng có thể tiết kiệm năng lượng bằng cách tắt các thiết bị khi không sử dụng.,,,,,,,,,,,,,,,,,,,,
16, Do you take an interest in nature?,Bạn có quan tâm đến thiên nhiên không?,I love all wildlife. My garden is the perfect habitat for hedgehogs. They are nocturnal but if I go out after dark with a torch I sometimes see one.,"Tôi yêu tất cả các loài động vật hoang dã. Khu vườn của tôi là môi trường sống lý tưởng cho nhím. Chúng hoạt động về đêm nhưng nếu tôi ra ngoài sau khi trời tối với một ngọn đuốc, đôi khi tôi nhìn thấy một con.",,,,,,,,,,,,,,,,,,,,
17,What do you often do to protect the environment?,Bạn thường làm gì để bảo vệ môi trường?,I use paper bags instead of nylon ones and travel by public transport to reduce pollution.,Tôi sử dụng túi giấy thay vì túi nilon và đi lại bằng phương tiện giao thông công cộng để giảm ô nhiễm.,,,,,,,,,,,,,,,,,,,,
18,Do you use renewable energy?,Bạn có sử dụng năng lượng tái tạo không?,"Yes, I have installed solar panels to utilize renewable energy sources.","Đúng vậy, tôi đã lắp đặt tấm pin mặt trời để sử dụng các nguồn năng lượng tái tạo.",,,,,,,,,,,,,,,,,,,,
19,What can we do to reduce pollution?,Chúng ta có thể làm gì để giảm ô nhiễm?,"We can reduce pollution by recycling, using public transport, and conserving energy","Chúng ta có thể giảm ô nhiễm bằng cách tái chế, sử dụng phương tiện giao thông công cộng và tiết kiệm năng lượng",,,,,,,,,,,,,,,,,,,,
20,Do you think climate change is a serious problem?,Bạn có nghĩ rằng biến đổi khí hậu là một vấn đề nghiêm trọng không?,"Yes, climate change leads to extreme weather events and threatens biodiversity","Đúng, biến đổi khí hậu dẫn đến các hiện tượng thời tiết khắc nghiệt và đe dọa đa dạng sinh học",,,,,,,,,,,,,,,,,,,,
21,How does climate change impact sea levels?,Biến đổi khí hậu tác động đến mực nước biển như thế nào?,"It causes polar ice to melt and seawater to expand, leading to rising sea levels.","Nó khiến băng ở hai cực tan chảy và nước biển giãn nở, dẫn đến mực nước biển dâng cao.",,,,,,,,,,,,,,,,,,,,
22,Do you think climate change is a major issue?,Bạn có nghĩ biến đổi khí hậu là vấn đề lớn không?,"Yes, I believe it is a critical problem that needs urgent action.","Đúng, tôi tin rằng đây là vấn đề nghiêm trọng cần hành động khẩn cấp.",,,,,,,,,,,,,,,,,,,,
23,Has climate change affected your daily life?,Biến đổi khí hậu có ảnh hưởng đến cuộc sống hàng ngày của bạn không?,"Not much, but I have noticed hotter summers.","Không nhiều, nhưng tôi nhận thấy mùa hè nóng hơn.",,,,,,,,,,,,,,,,,,,,
24,Are you worried about pollution in your city?,Bạn có lo lắng về ô nhiễm ở thành phố của mình không?,"Yes, I see more smog and trash on the streets","Đúng, tôi thấy nhiều khói bụi và rác thải hơn trên đường phố",,,,,,,,,,,,,,,,,,,,
25,Do you trust the quality of tap water in your area?,Bạn có tin tưởng vào chất lượng nước máy ở khu vực của mình không?,"Not really, I prefer bottled water.","Không hẳn vậy, tôi thích nước đóng chai hơn.",,,,,,,,,,,,,,,,,,,,
26,Do you believe individuals can make a difference in protecting the environment?,Bạn có tin rằng mỗi cá nhân có thể tạo ra sự khác biệt trong việc bảo vệ môi trường không?,"Yes, small actions like recycling and reducing waste contribute to bigger changes when many people participate.","Đúng, những hành động nhỏ như tái chế và giảm chất thải góp phần tạo nên những thay đổi lớn hơn khi có nhiều người tham gia.",,,,,,,,,,,,,,,,,,,,
27,How often do you think about your environmental impact?,Bạn thường nghĩ về tác động của mình đến môi trường như thế nào?,"I consider it daily, especially when making choices like using reusable items or conserving energy at home.","Tôi cân nhắc điều này hàng ngày, đặc biệt là khi đưa ra những lựa chọn như sử dụng các vật dụng có thể tái sử dụng hoặc tiết kiệm năng lượng tại nhà.",,,,,,,,,,,,,,,,,,,,
28,Have you noticed changes in your local environment over the past decade?,Bạn có nhận thấy những thay đổi trong môi trường địa phương của mình trong thập kỷ qua không?,"Yes, summers are hotter, and there’s more plastic waste in rivers compared to 10 years ago","Có, mùa hè nóng hơn và rác thải nhựa ở sông nhiều hơn so với 10 năm trước",,,,,,,,,,,,,,,,,,,,
29,Do you separate recyclables from regular trash at home?,Bạn có phân loại rác tái chế khỏi rác thải thông thường ở nhà không?,"Yes, I sort paper, plastic, and glass into separate bins to ensure they’re properly recycled","Có, tôi phân loại giấy, nhựa và thủy tinh vào các thùng riêng để đảm bảo chúng được tái chế đúng cách",,,,,,,,,,,,,,,,,,,,
30,How do you reduce plastic use in daily life?,Bạn làm thế nào để giảm thiểu việc sử dụng nhựa trong cuộc sống hàng ngày?,"I carry a reusable water bottle, avoid plastic straws, and choose products with minimal packagin","Tôi mang theo một chai nước có thể tái sử dụng, tránh ống hút nhựa và chọn các sản phẩm có bao bì tối thiểu",,,,,,,,,,,,,,,,,,,,
31,What’s your opinion on single-use plastics?,Bạn có ý kiến ​​gì về nhựa dùng một lần không?,They should be banned because they pollute oceans and harm marine life unnecessarily,Chúng nên bị cấm vì chúng gây ô nhiễm đại dương và gây hại không cần thiết cho sinh vật biển,,,,,,,,,,,,,,,,,,,,
32,Have you participated in a community clean-up event?,Bạn đã tham gia sự kiện dọn dẹp cộng đồng nào chưa?,"Yes, I joined a beach clean-up last month and collected over 5 kg of trash","Có, tôi đã tham gia một hoạt động dọn dẹp bãi biển vào tháng trước và thu gom được hơn 5 kg rác",,,,,,,,,,,,,,,,,,,,
33,Have you made any energy-saving changes at home?,Bạn đã thực hiện bất kỳ thay đổi nào để tiết kiệm năng lượng tại nhà không?,"I switched to LED bulbs and unplug devices when not in use to cut electricity waste.""","Tôi đã chuyển sang sử dụng bóng đèn LED và rút phích cắm các thiết bị khi không sử dụng để cắt giảm lãng phí điện.""",,,,,,,,,,,,,,,,,,,,
34,Would you consider buying an electric vehicle?,Bạn có cân nhắc mua xe điện không?,"Yes, if charging stations become more accessible and prices are affordable","Có, nếu các trạm sạc dễ tiếp cận hơn và giá cả phải chăng",,,,,,,,,,,,,,,,,,,,
35,Have you ever donated to wildlife conservation?,Bạn đã từng quyên góp cho hoạt động bảo tồn động vật hoang dã chưa?,"I donated to a rainforest protection fund last year to help save orangutans.""","Tôi đã quyên góp cho một quỹ bảo vệ rừng nhiệt đới vào năm ngoái để giúp cứu đười ươi.""",,,,,,,,,,,,,,,,,,,,
36, Do you avoid products linked to deforestation?,Bạn có tránh các sản phẩm liên quan đến nạn phá rừng không?,I check labels for sustainable palm oil and avoid brands harming rainforests.,Tôi kiểm tra nhãn mác để tìm dầu cọ bền vững và tránh các nhãn hiệu gây hại cho rừng nhiệt đới.,,,,,,,,,,,,,,,,,,,,
37,Is your country doing enough to address environmental issues?,Quốc gia của bạn đã làm đủ để giải quyết các vấn đề về môi trường chưa?,"No, policies are weak, and enforcement is inconsistent compared to global standards.""","Không, các chính sách còn yếu và việc thực thi không nhất quán so với các tiêu chuẩn toàn cầu.""",,,,,,,,,,,,,,,,,,,,
38,Do you talk to friends/family about environmental issues?,Bạn có nói chuyện với bạn bè/gia đình về các vấn đề về môi trường không?,"Yes, I share tips on recycling and energy savings to inspire others.","Có, tôi chia sẻ các mẹo về tái chế và tiết kiệm năng lượng để truyền cảm hứng cho những người khác.",,,,,,,,,,,,,,,,,,,,
39,Do you check air quality before going outside?,Bạn có kiểm tra chất lượng không khí trước khi ra ngoài không?,Only on hazy days—my phone app gives me alerts when it’s really bad,Chỉ vào những ngày sương mù—ứng dụng điện thoại của tôi sẽ cảnh báo tôi khi tình hình thực sự tồi tệ,,,,,,,,,,,,,,,,,,,,
40,How serious is plastic pollution in your local area?,Ô nhiễm nhựa ở khu vực địa phương của bạn nghiêm trọng đến mức nào?,It's getting worse every year. I can spot plastic bags stuck in trees after every heavy wind,Tình hình ngày càng tệ hơn mỗi năm. Tôi có thể phát hiện ra những chiếc túi nilon mắc kẹt trên cây sau mỗi cơn gió lớn,,,,,,,,,,,,,,,,,,,,
41,How would you describe the air quality in your city?,Bạn sẽ mô tả chất lượng không khí ở thành phố của bạn như thế nào?,Some mornings it's so hazy I can't even see the buildings across the street - like living in a bowl of soup!,Một số buổi sáng trời sương mù đến nỗi tôi thậm chí không thể nhìn thấy các tòa nhà bên kia đường - giống như sống trong một bát súp!,,,,,,,,,,,,,,,,,,,,
42,How does water pollution affect marine life?,Ô nhiễm nước ảnh hưởng đến sinh vật biển như thế nào?,"It leads to habitat destruction, toxic contamination, and loss of biodiversity.","Điều này dẫn đến việc phá hủy môi trường sống, ô nhiễm độc hại và mất đa dạng sinh học.",,,,,,,,,,,,,,,,,,,,
43,Do you believe climate change is a serious issue?,Bạn có tin rằng biến đổi khí hậu là một vấn đề nghiêm trọng không?,"Yes, I think it’s one of the biggest threats to our future.","Có, tôi nghĩ đây là một trong những mối đe dọa lớn nhất đối với tương lai của chúng ta.",,,,,,,,,,,,,,,,,,,,
