Luật 1: Thay thế từ đồng nghĩa,,
What are the environmental impacts of large-scale mining?,What are the environmental impacts of large-scale mining?,"Destroys habitats, pollutes water, and releases greenhouse gases."
How does air quality affect human health in polluted cities?,How does air quality affect human health in polluted cities?,"Increases respiratory issues, heart disease, and premature deaths in polluted areas."
Why are wetlands disappearing at an alarming rate?,Why are wetlands disappearing at an alarming rate?,"Drained for agriculture, urban development, and climate-driven drying."
What is the relationship between deforestation and carbon dioxide levels?,What is the relationship between deforestation and carbon dioxide levels?,"Removes trees that absorb CO2, increasing atmospheric levels and warming."
How are endangered species being protected from extinction?,How are endangered species being protected from extinction?,"Through protected areas, breeding programs, and laws against poaching and trade."
What challenges do renewable energy projects face today?,What challenges do renewable energy projects face today?,"High costs, infrastructure needs, and inconsistent energy output."
How does overpopulation strain natural resources?,How does overpopulation strain natural resources?,"Increases demand for food, water, and energy, depleting resources faster."
Why is clean water becoming scarce in some regions?,Why is clean water becoming scarce in some regions?,"Overuse, pollution, and climate change reduce freshwater availability."
What are the environmental effects of oil spills in the ocean?,What are the environmental effects of oil spills in the ocean?,"Kills marine life, damages habitats, and disrupts ecosystems for years."
How do pesticides harm ecosystems beyond their intended targets?,How do pesticides harm ecosystems beyond their intended targets?,"Harm pollinators, wildlife, and soil health, causing broader ecological damage."
What is being done to combat desertification globally?,What is being done to combat desertification globally?,"Reforestation, sustainable farming, and international aid programs."
How does fast fashion contribute to environmental damage?,How does fast fashion contribute to environmental damage?,"Creates waste, uses toxic dyes, and consumes vast water and energy."
Why are wildfires becoming more frequent and intense?,Why are wildfires becoming more frequent and intense?,"Driven by higher temperatures, droughts, and human land mismanagement."
What impact does transportation have on global emissions?,What impact does transportation have on global emissions?,"Contributes heavily via cars, planes, and shipping emissions."
How are coastal areas preparing for rising sea levels?,How are coastal areas preparing for rising sea levels?,"Building seawalls, relocating communities, and restoring natural barriers like mangroves."
What are the benefits of reforestation efforts?,What are the benefits of reforestation efforts?,"Restores habitats, sequesters carbon, and improves soil and water retention."
How does noise pollution affect wildlife behavior?,How does noise pollution affect wildlife behavior?,"Disrupts mating, hunting, and migration patterns in animals."
Why is sustainable agriculture gaining attention today?,Why is sustainable agriculture gaining attention today?,"Reduces chemical use, preserves soil, and meets growing food demand sustainably."
What are the long-term effects of nuclear waste on the environment?,What are the long-term effects of nuclear waste on the environment?,"Contaminates soil and water, posing risks for centuries if mismanaged."
How do microplastics enter the human food chain?,How do microplastics enter the human food chain?,"Through seafood, water, and soil, accumulating in human tissues."
What role does education play in environmental conservation?,What role does education have in environmental conservation?,"Raises awareness, changes behavior, and fosters sustainable practices."
How are developing countries addressing environmental challenges?,How are developing countries addressing environmental challenges?,"Adopting renewables, seeking aid, and balancing growth with conservation."
Why is the loss of pollinators a threat to food security?,Why is the loss of pollinators a threat to food security?,"Reduces crop pollination, threatening food production and ecosystems."
What are the environmental costs of cryptocurrency mining?,What are the environmental costs of cryptocurrency mining?,High energy use for computing drives emissions and resource depletion.
How does illegal logging impact tropical rainforests?,How does illegal logging impact tropical rainforests?,"Destroys habitats, increases CO2, and threatens indigenous communities."
What innovations are helping to clean up polluted rivers?,What innovations are helping to clean up polluted rivers?,"Bioremediation, filtration systems, and trash-collecting drones."
How are animals adapting to changing climates?,How are animals adapting to changing climates?,"Shifting habitats, altering behaviors, or facing extinction risks."
Why is ocean acidification a growing concern for marine life?,Why is ocean acidification a growing concern for marine life?,"Weakens shells, disrupts food chains, and harms marine biodiversity."
What are the environmental impacts of tourism in sensitive areas?,What are the environmental impacts of tourism in sensitive areas?,"Strains resources, damages ecosystems, and increases waste in fragile areas."
How can technology help solve current environmental problems?,How can technology help solve current environmental issues?,"Offers solutions like clean energy, pollution monitoring, and waste management tools."
Luật 2: Diễn đạt lại câu,,
Original Question,Generated Question,Answer
Do you use reusable bags instead of plastic ones?,Do you use reusable bags instead of plastic ones?,"Yes, I always carry my own bag."
What products can we use to reduce water pollution?,Can you tell me what products can we use to reduce water pollution?,"Finally, we can reduce water pollution by using green products and avoiding single-use products like plastic bags."
What role do governments play in environmental protection?,Can you tell me what role do governments play in environmental protection?,"They create laws, regulations, and policies to protect natural resources."
Do you think pollution is a problem today?,"In your opinion, is  pollution is a problem today?","Yes, I think pollution is a problem today. It’s one of the most pressing issues facing our planet."
Do you think food waste is a problem?,"In your opinion, is  food waste is a problem?","Yes, it wastes resources and creates more trash."
What do you know about climate change?,Can you tell me what do you know about climate change?,It’s a change in weather patterns due to human activities.
Do you think you’ve done enough to protect the environment?  ,"In your opinion, is  you’ve done enough to protect the environment?  ?","No definitely not, I still throw away various single-use plastic products every day. Currently, there aren’t any recycling programmes where I live. I hope this will change soon."
What can you do to help the environment?,Can you tell me what can you do to help the environment?,"I think I can help by recycling more and using less plastic, like bringing my own bags when I go shopping"
Do you think it’s important to plant trees?,"In your opinion, is  it’s important to plant trees?","Yes, trees clean the air and provide oxygen."
Do you think air pollution is a problem in your city?,"In your opinion, is  air pollution is a problem in your city?","Yes, there’s a lot of smoke from cars and factories."
What do you do to stop wasting food?,Can you tell me what do you do to stop wasting food?,I eat leftovers and don’t buy too much food
Do you think people should use less plastic?,"In your opinion, is  people should use less plastic?","Yes, because plastic harms animals and the environment."
What is the biggest cause of climate change?,Can you tell me what is the biggest cause of climate change?,Burning fossil fuels like coal and oil.
What do you know about recycling?,Can you tell me what do you know about recycling?,"It reduces waste by turning old things into new ones, and it also saves resources like trees and metals, which helps protect the environment."
What can we do to stop global warming?,Can you tell me what can we do to stop global warming?,"We can use bicycles instead of cars to reduce emissions, and we can also save energy by turning off appliances when we’re not using them."
 Do you take an interest in nature?, Do you take an interest in nature?,I love all wildlife. My garden is the perfect habitat for hedgehogs. They are nocturnal but if I go out after dark with a torch I sometimes see one.
What do you often do to protect the environment?,Can you tell me what do you often do to protect the environment?,I use paper bags instead of nylon ones and travel by public transport to reduce pollution.
Do you use renewable energy?,Do you use renewable energy?,"Yes, I have installed solar panels to utilize renewable energy sources."
What can we do to reduce pollution?,Can you tell me what can we do to reduce pollution?,"We can reduce pollution by recycling, using public transport, and conserving energy"
Do you think climate change is a serious problem?,"In your opinion, is  climate change is a serious problem?","Yes, climate change leads to extreme weather events and threatens biodiversity"
How does climate change impact sea levels?,Can you explain how does climate change impact sea levels?,"It causes polar ice to melt and seawater to expand, leading to rising sea levels."
Do you think climate change is a major issue?,"In your opinion, is  climate change is a major issue?","Yes, I believe it is a critical problem that needs urgent action."
Has climate change affected your daily life?,Has climate change affected your daily life?,"Not much, but I have noticed hotter summers."
Are you worried about pollution in your city?,Are you worried about pollution in your city?,"Yes, I see more smog and trash on the streets"
Do you trust the quality of tap water in your area?,Do you trust the quality of tap water in your area?,"Not really, I prefer bottled water."
Do you believe individuals can make a difference in protecting the environment?,Do you believe individuals can make a difference in protecting the environment?,"Yes, small actions like recycling and reducing waste contribute to bigger changes when many people participate."
How often do you think about your environmental impact?,Can you explain how often do you think about your environmental impact?,"I consider it daily, especially when making choices like using reusable items or conserving energy at home."
Have you noticed changes in your local environment over the past decade?,Have you noticed changes in your local environment over the past decade?,"Yes, summers are hotter, and there’s more plastic waste in rivers compared to 10 years ago"
Do you separate recyclables from regular trash at home?,Do you separate recyclables from regular trash at home?,"Yes, I sort paper, plastic, and glass into separate bins to ensure they’re properly recycled"
How do you reduce plastic use in daily life?,Can you explain how do you reduce plastic use in daily life?,"I carry a reusable water bottle, avoid plastic straws, and choose products with minimal packagin"
What’s your opinion on single-use plastics?,Can you tell me what s your opinion on single-use plastics?,They should be banned because they pollute oceans and harm marine life unnecessarily
Have you participated in a community clean-up event?,Have you participated in a community clean-up event?,"Yes, I joined a beach clean-up last month and collected over 5 kg of trash"
Have you made any energy-saving changes at home?,Have you made any energy-saving changes at home?,"I switched to LED bulbs and unplug devices when not in use to cut electricity waste."""
Would you consider buying an electric vehicle?,Would you consider buying an electric vehicle?,"Yes, if charging stations become more accessible and prices are affordable"
Have you ever donated to wildlife conservation?,Have you ever donated to wildlife conservation?,"I donated to a rainforest protection fund last year to help save orangutans."""
 Do you avoid products linked to deforestation?, Do you avoid products linked to deforestation?,I check labels for sustainable palm oil and avoid brands harming rainforests.
Is your country doing enough to address environmental issues?,Is your country doing enough to address environmental issues?,"No, policies are weak, and enforcement is inconsistent compared to global standards."""
Do you talk to friends/family about environmental issues?,Do you talk to friends/family about environmental issues?,"Yes, I share tips on recycling and energy savings to inspire others."
Do you check air quality before going outside?,Do you check air quality before going outside?,Only on hazy days—my phone app gives me alerts when it’s really bad
How serious is plastic pollution in your local area?,Can you explain how serious is plastic pollution in your local area?,It's getting worse every year. I can spot plastic bags stuck in trees after every heavy wind
How would you describe the air quality in your city?,Can you explain how would you describe the air quality in your city?,Some mornings it's so hazy I can't even see the buildings across the street - like living in a bowl of soup!
How does water pollution affect marine life?,Can you explain how does water pollution affect marine life?,"It leads to habitat destruction, toxic contamination, and loss of biodiversity."
Do you believe climate change is a serious issue?,Do you believe climate change is a serious issue?,"Yes, I think it’s one of the biggest threats to our future."
Would you be willing to pay more for eco-friendly products?,Would you be willing to pay more for eco-friendly products?,"Yes, but only if the price difference is not too big."
Would you support higher taxes on polluting industries?,Would you support higher taxes on polluting industries?,"Yes, but only if the money is used for environmental protection."
What is the biggest cause of climate change?,Can you tell me what is the biggest cause of climate change?,"Yes, there is pollution where I live in Hanoi, Vietnam. Air pollution is the most serious environmental problem in Hanoi."
What kinds of pollution are serious in your country?,Can you tell me what kinds of pollution are serious in your country?,"Unfortunately, pollution is a significant issue in Vietnam. Some of the most serious types of pollution include air pollution, water pollution, and noise pollution."
Do you take an interest in nature? ,Do you take an interest in nature? ,"Yes, I do. I find nature to be a fascinating and complex system that is full of beauty and wonder."
Do you like growing plants? ,Do you like growing plants? ,"Yes, I do enjoy growing plants. I also appreciate the beauty that plants bring to my home and garden. "
Why is environmental education important?,Why is environmental education important?,It raises awareness and encourages people to take action to protect nature.
What are the main causes of air pollution in urban areas today?,Can you tell me what are the main causes of air pollution in urban areas today?,"Vehicle emissions, industrial activities, burning fossil fuels, construction dust, and waste incineration."
How does deforestation affect global climate patterns?,Can you explain how does deforestation affect global climate patterns?,"Releases carbon dioxide, reduces CO2 absorption, and disrupts rainfall patterns, worsening global warming."
Why is plastic pollution such a significant problem for marine life?,Why is plastic pollution such a significant problem for marine life?,"Marine animals ingest or get entangled in it, causing injury, starvation, death, and food chain disruption."
What role does industrial waste play in water pollution?,Can you tell me what role does industrial waste play in water pollution?,"Contaminates water with chemicals, heavy metals, and untreated sewage, harming ecosystems and health."
How are rising global temperatures impacting polar ice caps?,Can you explain how are rising global temperatures impacting polar ice caps?,"Melts ice caps, reduces reflectivity, accelerates warming, and raises sea levels."
What are the effects of overfishing on ocean ecosystems?,Can you tell me what are the effects of overfishing on ocean ecosystems?,"Depletes fish populations, disrupts food webs, and damages habitats like coral reefs."
How does urbanization contribute to habitat loss for wildlife?,Can you explain how does urbanization contribute to habitat loss for wildlife?,"Clears forests, wetlands, and grasslands for infrastructure, reducing wildlife living space."
Why are greenhouse gas emissions still increasing despite awareness?,Why are greenhouse gas emissions still increasing despite awareness?,"Economic growth, fossil fuel reliance, weak policies, and population growth outpace reduction efforts."
What steps are governments taking to reduce carbon footprints?,Can you tell me what steps are governments taking to reduce carbon footprints?,"Promoting renewables, enforcing emissions rules, subsidizing green tech, and joining global agreements."
How does soil degradation affect agricultural productivity?,Can you explain how does soil degradation affect agricultural productivity?,"Reduces fertility, limits crop yields, and increases reliance on chemical fertilizers."
What are the consequences of melting glaciers for sea levels?,Can you tell me what are the consequences of melting glaciers for sea levels?,"Raises sea levels, floods coastal areas, and displaces communities and ecosystems."
How is climate change influencing extreme weather events?,Can you explain how is climate change influencing extreme weather events?,"Increases frequency and intensity of storms, heatwaves, droughts, and floods."
Why is biodiversity loss considered a global crisis?,Why is biodiversity loss considered a global crisis?,"Threatens ecosystem stability, food security, and resilience to environmental changes."
What are the primary sources of renewable energy being used today?,Can you tell me what are the primary sources of renewable energy being used today?,"Solar, wind, hydropower, geothermal, and biomass energy."
How does single-use plastic impact the environment long-term?,Can you explain how does single-use plastic impact the environment long-term?,"Persists in ecosystems, pollutes water and soil, and harms wildlife for decades."
What measures can individuals take to reduce their environmental impact?,Can you tell me what measures can individuals take to reduce their environmental impact?,"Reduce waste, use renewables, conserve water, and adopt sustainable habits."
How are coral reefs being affected by ocean warming?,Can you explain how are coral reefs being affected by ocean warming?,"Causes bleaching, weakens structures, and reduces biodiversity in reef ecosystems."
Why is electronic waste becoming a growing environmental issue?,Why is electronic waste becoming a growing environmental issue?,"Contains toxic materials, pollutes soil and water, and overwhelms waste systems."
What role do corporations play in environmental degradation?,Can you tell me what role do corporations play in environmental degradation?,"Drive resource extraction, emissions, and waste through production and supply chains."
How effective are current recycling programs worldwide?,Can you explain how effective are current recycling programs worldwide?,Vary widely; effective in some regions but limited by contamination and low participation elsewhere.
What are the environmental impacts of large-scale mining?,Can you tell me what are the environmental impacts of large-scale mining?,"Destroys habitats, pollutes water, and releases greenhouse gases."
How does air quality affect human health in polluted cities?,Can you explain how does air quality affect human health in polluted cities?,"Increases respiratory issues, heart disease, and premature deaths in polluted areas."
Why are wetlands disappearing at an alarming rate?,Why are wetlands disappearing at an alarming rate?,"Drained for agriculture, urban development, and climate-driven drying."
What is the relationship between deforestation and carbon dioxide levels?,Can you tell me what is the relationship between deforestation and carbon dioxide levels?,"Removes trees that absorb CO2, increasing atmospheric levels and warming."
How are endangered species being protected from extinction?,Can you explain how are endangered species being protected from extinction?,"Through protected areas, breeding programs, and laws against poaching and trade."
What challenges do renewable energy projects face today?,Can you tell me what challenges do renewable energy projects face today?,"High costs, infrastructure needs, and inconsistent energy output."
How does overpopulation strain natural resources?,Can you explain how does overpopulation strain natural resources?,"Increases demand for food, water, and energy, depleting resources faster."
Why is clean water becoming scarce in some regions?,Why is clean water becoming scarce in some regions?,"Overuse, pollution, and climate change reduce freshwater availability."
What are the environmental effects of oil spills in the ocean?,Can you tell me what are the environmental effects of oil spills in the ocean?,"Kills marine life, damages habitats, and disrupts ecosystems for years."
How do pesticides harm ecosystems beyond their intended targets?,Can you explain how do pesticides harm ecosystems beyond their intended targets?,"Harm pollinators, wildlife, and soil health, causing broader ecological damage."
What is being done to combat desertification globally?,Can you tell me what is being done to combat desertification globally?,"Reforestation, sustainable farming, and international aid programs."
How does fast fashion contribute to environmental damage?,Can you explain how does fast fashion contribute to environmental damage?,"Creates waste, uses toxic dyes, and consumes vast water and energy."
Why are wildfires becoming more frequent and intense?,Why are wildfires becoming more frequent and intense?,"Driven by higher temperatures, droughts, and human land mismanagement."
What impact does transportation have on global emissions?,Can you tell me what impact does transportation have on global emissions?,"Contributes heavily via cars, planes, and shipping emissions."
How are coastal areas preparing for rising sea levels?,Can you explain how are coastal areas preparing for rising sea levels?,"Building seawalls, relocating communities, and restoring natural barriers like mangroves."
What are the benefits of reforestation efforts?,Can you tell me what are the benefits of reforestation efforts?,"Restores habitats, sequesters carbon, and improves soil and water retention."
How does noise pollution affect wildlife behavior?,Can you explain how does noise pollution affect wildlife behavior?,"Disrupts mating, hunting, and migration patterns in animals."
Why is sustainable agriculture gaining attention today?,Why is sustainable agriculture gaining attention today?,"Reduces chemical use, preserves soil, and meets growing food demand sustainably."
What are the long-term effects of nuclear waste on the environment?,Can you tell me what are the long-term effects of nuclear waste on the environment?,"Contaminates soil and water, posing risks for centuries if mismanaged."
How do microplastics enter the human food chain?,Can you explain how do microplastics enter the human food chain?,"Through seafood, water, and soil, accumulating in human tissues."
What role does education play in environmental conservation?,Can you tell me what role does education play in environmental conservation?,"Raises awareness, changes behavior, and fosters sustainable practices."
How are developing countries addressing environmental challenges?,Can you explain how are developing countries addressing environmental challenges?,"Adopting renewables, seeking aid, and balancing growth with conservation."
Why is the loss of pollinators a threat to food security?,Why is the loss of pollinators a threat to food security?,"Reduces crop pollination, threatening food production and ecosystems."
What are the environmental costs of cryptocurrency mining?,Can you tell me what are the environmental costs of cryptocurrency mining?,High energy use for computing drives emissions and resource depletion.
How does illegal logging impact tropical rainforests?,Can you explain how does illegal logging impact tropical rainforests?,"Destroys habitats, increases CO2, and threatens indigenous communities."
What innovations are helping to clean up polluted rivers?,Can you tell me what innovations are helping to clean up polluted rivers?,"Bioremediation, filtration systems, and trash-collecting drones."
How are animals adapting to changing climates?,Can you explain how are animals adapting to changing climates?,"Shifting habitats, altering behaviors, or facing extinction risks."
Why is ocean acidification a growing concern for marine life?,Why is ocean acidification a growing concern for marine life?,"Weakens shells, disrupts food chains, and harms marine biodiversity."
What are the environmental impacts of tourism in sensitive areas?,Can you tell me what are the environmental impacts of tourism in sensitive areas?,"Strains resources, damages ecosystems, and increases waste in fragile areas."
How can technology help solve current environmental problems?,Can you explain how can technology help solve current environmental problems?,"Offers solutions like clean energy, pollution monitoring, and waste management tools."
Luật 3: Chuyển câu hỏi mở ↔ câu hỏi đóng,,
Original Question,Generated Question,Answer
Do you use reusable bags instead of plastic ones?,Why do you you use reusable bags instead of plastic ones?,"Yes, I always carry my own bag."
What products can we use to reduce water pollution?,Is it true that What products can we use to reduce water pollution?,"Finally, we can reduce water pollution by using green products and avoiding single-use products like plastic bags."
What role do governments play in environmental protection?,Is it true that What role do governments play in environmental protection?,"They create laws, regulations, and policies to protect natural resources."
Do you think pollution is a problem today?,Why do you you think pollution is a problem today?,"Yes, I think pollution is a problem today. It’s one of the most pressing issues facing our planet."
Do you think food waste is a problem?,Why do you you think food waste is a problem?,"Yes, it wastes resources and creates more trash."
What do you know about climate change?,Is it true that What do you know about climate change?,It’s a change in weather patterns due to human activities.
Do you think you’ve done enough to protect the environment?  ,Why do you you think you’ve done enough to protect the environment?  ?,"No definitely not, I still throw away various single-use plastic products every day. Currently, there aren’t any recycling programmes where I live. I hope this will change soon."
What can you do to help the environment?,Is it true that What can you do to help the environment?,"I think I can help by recycling more and using less plastic, like bringing my own bags when I go shopping"
Do you think it’s important to plant trees?,Why do you you think it’s important to plant trees?,"Yes, trees clean the air and provide oxygen."
Do you think air pollution is a problem in your city?,Why do you you think air pollution is a problem in your city?,"Yes, there’s a lot of smoke from cars and factories."
What do you do to stop wasting food?,Is it true that What do you do to stop wasting food?,I eat leftovers and don’t buy too much food
Do you think people should use less plastic?,Why do you you think people should use less plastic?,"Yes, because plastic harms animals and the environment."
What is the biggest cause of climate change?,Is it true that What is the biggest cause of climate change?,Burning fossil fuels like coal and oil.
What do you know about recycling?,Is it true that What do you know about recycling?,"It reduces waste by turning old things into new ones, and it also saves resources like trees and metals, which helps protect the environment."
What can we do to stop global warming?,Is it true that What can we do to stop global warming?,"We can use bicycles instead of cars to reduce emissions, and we can also save energy by turning off appliances when we’re not using them."
 Do you take an interest in nature?, Do you take an interest in nature?,I love all wildlife. My garden is the perfect habitat for hedgehogs. They are nocturnal but if I go out after dark with a torch I sometimes see one.
